Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
La Estrella,63,0.47%,21,0.157%,42,0.313%
La Pintada,13,0.681%,4,0.21%,9,0.471%
La Unión,31,0.564%,7,0.128%,24,0.436%
Liborina,10,0.525%,2,0.105%,8,0.42%
Maceo,17,0.864%,1,0.051%,16,0.813%
Marinilla,63,0.448%,16,0.114%,47,0.334%
Medellín,"2,947",0.639%,723,0.157%,"2,224",0.482%
Montebello,7,0.634%,1,0.091%,6,0.543%
Murindó,7,0.298%,3,0.128%,4,0.17%
Mutatá,98,1.289%,38,0.5%,60,0.789%
Nariño,18,0.746%,3,0.125%,15,0.621%
Nechí,55,0.555%,18,0.182%,37,0.373%
Necoclí,109,0.821%,24,0.181%,85,0.64%
Olaya,0,0%,0,0%,0,0%
Peñol,10,0.462%,6,0.277%,4,0.185%
Peque,39,0.925%,5,0.119%,34,0.806%
Pueblorrico,7,0.419%,0,0%,7,0.419%
Puerto Berrío,103,1.128%,24,0.263%,79,0.865%
Puerto Nare,11,0.393%,4,0.143%,7,0.25%
Puerto Triunfo,40,0.892%,9,0.201%,31,0.691%
Remedios,63,0.844%,18,0.241%,45,0.603%
Retiro,14,0.342%,4,0.098%,10,0.244%
Rionegro,146,0.636%,38,0.166%,108,0.47%
Sabanalarga,9,0.396%,3,0.132%,6,0.264%
Sabaneta,73,0.506%,19,0.132%,54,0.374%
Salgar,29,0.778%,8,0.215%,21,0.563%
San Andrés De Cuerquía,11,0.531%,3,0.145%,8,0.386%
San Carlos,22,0.552%,8,0.201%,14,0.351%
San Francisco,10,0.636%,1,0.064%,9,0.572%
San Jerónimo,14,0.446%,2,0.064%,12,0.382%
San José De La Montaña,1,0.112%,0,0%,1,0.112%
San Juan De Urabá,30,0.396%,8,0.106%,22,0.29%
San Luis,35,1.022%,4,0.117%,31,0.905%
San Pedro De Los Milagros,39,1.042%,7,0.187%,32,0.855%
San Pedro De Urabá,50,0.469%,15,0.141%,35,0.328%
San Rafael,16,0.553%,1,0.035%,15,0.518%
San Roque,27,0.592%,7,0.154%,20,0.438%
San Vicente Ferrer,10,0.226%,3,0.068%,7,0.158%
Santa Bárbara,23,0.378%,7,0.115%,16,0.263%
Santa Fé De Antioquia,48,0.855%,12,0.214%,36,0.641%
Santa Rosa De Osos,54,0.656%,10,0.122%,44,0.534%
Santo Domingo,5,0.235%,1,0.047%,4,0.188%
Segovia,101,0.995%,20,0.197%,81,0.798%
Sonsón,52,0.687%,12,0.159%,40,0.528%
Sopetrán,19,0.641%,6,0.203%,13,0.438%
Támesis,115,1.508%,14,0.184%,101,1.324%
Tarazá,3,0.267%,1,0.089%,2,0.178%
Tarso,7,0.549%,1,0.079%,6,0.47%
Titiribí,13,0.884%,8,0.544%,5,0.34%
Toledo,456,1.135%,126,0.314%,330,0.821%
Turbo,17,0.587%,3,0.104%,14,0.483%
Uramita,14,0.738%,2,0.106%,12,0.632%
Urrao,54,0.627%,16,0.186%,38,0.441%
Valdivia,38,1.295%,5,0.171%,33,1.124%
Valparaíso,3,0.302%,1,0.101%,2,0.201%
Vegachí,34,1.085%,5,0.16%,29,0.925%
Venecia,26,1.513%,5,0.291%,21,1.222%
Vigía Del Fuerte,4,0.106%,2,0.053%,2,0.053%
Yalí,16,0.989%,3,0.186%,13,0.803%
Yarumal,89,0.855%,14,0.135%,75,0.72%
Yolombó,40,0.814%,10,0.204%,30,0.61%
Yondó,36,0.578%,13,0.209%,23,0.369%
Zaragoza,52,0.588%,13,0.147%,39,0.441%
