Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Tibacuy,2,0.246%,1,0.123%,1,0.123%
Tibirita,2,0.488%,0,0%,2,0.488%
Tocaima,24,0.861%,10,0.359%,14,0.502%
Tocancipá,51,0.41%,16,0.129%,35,0.281%
Topaipí,2,0.27%,0,0%,2,0.27%
Ubalá,6,0.39%,2,0.13%,4,0.26%
Ubaque,10,0.67%,4,0.268%,6,0.402%
Une,8,0.502%,2,0.126%,6,0.376%
Útica,1,0.088%,1,0.088%,0,0%
Venecia,3,0.258%,2,0.172%,1,0.086%
Vergara,1,0.119%,0,0%,1,0.119%
Vianí,64,0.537%,15,0.126%,49,0.411%
Villa De San Diego De Ubaté,2,0.488%,0,0%,2,0.488%
Villagómez,21,0.443%,4,0.085%,17,0.358%
Villapinzón,28,0.453%,6,0.097%,22,0.356%
Villeta,18,0.59%,3,0.099%,15,0.491%
Viotá,2,0.094%,0,0%,2,0.094%
Yacopí,3,0.318%,1,0.106%,2,0.212%
Zipacón,195,0.576%,56,0.166%,139,0.41%
Zipaquirá,0,0%,0,0%,0,0%
